N,C Iterative,C Memoization,Rust Iterative,Rust Memoization
241,0.001835,0.001634,0.001766,0.001948
242,0.00186,0.001718,0.001843,0.001945
243,0.001858,0.001757,0.00185,0.001964
244,0.001626,0.001719,0.00185,0.001878
245,0.001687,0.001558,0.002085,0.001981
246,0.001637,0.001673,0.002381,0.002017
247,0.001633,0.001573,0.0019,0.002172
248,0.001735,0.001622,0.001853,0.002132
249,0.001757,0.001586,0.001866,0.002042
250,0.002101,0.001638,0.001894,0.002124
251,0.00202,0.001634,0.001838,0.001997
252,0.001819,0.001662,0.001768,0.001967
253,0.001735,0.001785,0.001867,0.001904
254,0.001796,0.00161,0.001961,0.001862
255,0.001612,0.00171,0.002031,0.00191
256,0.001618,0.001542,0.001911,0.002037
257,0.001659,0.001565,0.001806,0.002034
258,0.001714,0.001567,0.001772,0.001923
259,0.001867,0.001576,0.00179,0.001872
260,0.001644,0.001806,0.001917,0.001843
261,0.001668,0.001568,0.001966,0.001911
262,0.001645,0.001685,0.002108,0.001911
263,0.001663,0.001558,0.001772,0.002112
264,0.001704,0.001571,0.00185,0.002062
265,0.001785,0.001613,0.001817,0.001947
266,0.001736,0.001625,0.001824,0.001916
267,0.001714,0.001738,0.00187,0.001887
268,0.001704,0.001749,0.001971,0.002052
269,0.00179,0.002043,0.002122,0.001952
270,0.001808,0.001709,0.002074,0.001902
271,0.001688,0.00164,0.001983,0.00217
272,0.001794,0.001597,0.001861,0.002103
273,0.001828,0.001672,0.001887,0.002327
274,0.001761,0.001635,0.001892,0.001986
275,0.001779,0.00151,0.001809,0.002008
276,0.001848,0.001963,0.002053,0.001949
277,0.001902,0.002013,0.002006,0.002116
278,0.001901,0.001818,0.001752,0.001897
279,0.001725,0.001753,0.001878,0.001849
280,0.001727,0.001636,0.001959,0.001997
281,0.001648,0.001576,0.002007,0.001943
282,0.001719,0.001668,0.001826,0.00205
283,0.001707,0.001608,0.001892,0.002045
284,0.001791,0.00163,0.001883,0.001943
285,0.001883,0.001629,0.001863,0.001946
286,0.001683,0.00172,0.001862,0.001846
287,0.001633,0.001717,0.001816,0.001855
288,0.001771,0.001652,0.001976,0.001906
289,0.001677,0.001624,0.001937,0.002169
290,0.001744,0.001778,0.00187,0.002316
291,0.001749,0.001636,0.001926,0.002158
292,0.001734,0.00159,0.001841,0.001981
293,0.001779,0.001639,0.00182,0.002036
294,0.001932,0.001621,0.001892,0.001902
295,0.001747,0.001797,0.001946,0.001931
296,0.001717,0.001711,0.001864,0.001881
297,0.001748,0.001629,0.002071,0.001924
298,0.00163,0.001632,0.001994,0.001882
299,0.001628,0.001563,0.00187,0.002008
300,0.001829,0.001595,0.001866,0.002028
301,0.001876,0.001624,0.001882,0.002046
302,0.002062,0.001726,0.001895,0.001974
303,0.001736,0.001681,0.001812,0.001949
304,0.001731,0.001781,0.001901,0.00183
305,0.001702,0.001675,0.002004,0.001899
306,0.001645,0.001562,0.002074,0.002046
307,0.001636,0.001578,0.001854,0.002138
308,0.001665,0.00158,0.001858,0.002081
309,0.001717,0.001574,0.001901,0.001932
310,0.001823,0.001681,0.001799,0.001889
311,0.001723,0.001745,0.001788,0.001901
312,0.001689,0.001763,0.001786,0.002039
313,0.001668,0.001631,0.001997,0.002049
314,0.001666,0.001607,0.001842,0.002106
315,0.001699,0.001578,0.001834,0.002083
316,0.001814,0.001686,0.001965,0.002112
317,0.001792,0.001609,0.001833,0.001938
318,0.001831,0.00171,0.001799,0.001928
319,0.001684,0.001744,0.001812,0.001903
320,0.001891,0.001819,0.001841,0.001889
321,0.00169,0.001657,0.002018,0.001943
322,0.001719,0.001696,0.001998,0.001986
323,0.001715,0.00166,0.00185,0.002096
324,0.001714,0.001645,0.001843,0.002128
325,0.001713,0.001598,0.001814,0.001974
326,0.001835,0.001607,0.001841,0.001947
327,0.001817,0.001698,0.001871,0.001934
328,0.001803,0.001759,0.001901,0.001883
329,0.001763,0.001673,0.001924,0.002004
330,0.00171,0.001671,0.002035,0.001948
331,0.001675,0.001537,0.001802,0.002117
332,0.001686,0.001606,0.001804,0.002075
333,0.001784,0.001718,0.001928,0.002065
334,0.001901,0.001626,0.00187,0.00205
335,0.001921,0.00168,0.00185,0.001971
336,0.001811,0.001834,0.00183,0.001977
337,0.001824,0.001792,0.001884,0.001833
338,0.001747,0.001598,0.002032,0.00198
339,0.001664,0.001618,0.002002,0.001927
340,0.001739,0.001617,0.001828,0.002121
341,0.001714,0.001604,0.001852,0.002025
342,0.001733,0.001584,0.001796,0.002016
343,0.001861,0.001632,0.001912,0.001912
344,0.001879,0.001688,0.001851,0.001922
345,0.00174,0.001769,0.001841,0.001846
346,0.001765,0.001615,0.001957,0.001939
347,0.001748,0.001637,0.001952,0.00192
348,0.001675,0.00156,0.00181,0.002252
349,0.001732,0.001531,0.001848,0.001942
350,0.001725,0.001579,0.001732,0.001945
351,0.001845,0.001636,0.001769,0.001905
352,0.001775,0.001969,0.001887,0.001861
353,0.001731,0.001816,0.001879,0.001964
354,0.001772,0.00171,0.002103,0.001928
355,0.001675,0.001621,0.001979,0.001908
356,0.001684,0.001692,0.001915,0.00207
357,0.001744,0.001605,0.001915,0.00224
358,0.001901,0.001628,0.001925,0.001977
359,0.001757,0.001654,0.001869,0.001905
360,0.00184,0.001726,0.001865,0.001975
361,0.001699,0.001753,0.001842,0.001899
362,0.00179,0.001812,0.001883,0.00191
363,0.001704,0.001668,0.001979,0.001857
364,0.001663,0.001634,0.001898,0.002221
365,0.001673,0.001586,0.001838,0.002117
366,0.001685,0.001648,0.001798,0.001989
367,0.001828,0.0016,0.001858,0.002
368,0.001924,0.001685,0.001849,0.001929
369,0.001768,0.001704,0.001863,0.001899
370,0.001844,0.00183,0.001897,0.001898
371,0.003073,0.001857,0.001863,0.001885
372,0.001753,0.001669,0.001974,0.001917
373,0.001684,0.001645,0.001984,0.001903
374,0.001777,0.001615,0.001859,0.002112
375,0.001717,0.001595,0.001904,0.00207
376,0.001764,0.001544,0.001815,0.001954
377,0.001871,0.001655,0.001816,0.001958
378,0.001864,0.001692,0.001797,0.001938
379,0.00178,0.001758,0.001796,0.001931
